sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Akan,ethnicity_Ewe,ethnicity_Ga/Dangme,ethnicity_Grusi,ethnicity_Guan,ethnicity_Gurma,ethnicity_Mande,ethnicity_Mole-Dagbani,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7
1.42003,Akan,poorer,-60222,2,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.84006,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00031966136685479595
1.42003,Akan,poorer,-48790,2,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.84006,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00031966136685479595
1.42003,Akan,poorer,-38188,2,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.84006,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00031966136685479595
1.42003,Akan,middle,453,2,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,4.26009,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00011436919268920623
1.42003,Akan,poorer,-50345,2,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,2.84006,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00031966136685479595
1.42003,Akan,middle,15862,2,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,4.26009,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00011436919268920623
1.258696,Akan,richest,125812,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.258696,Akan,richest,126170,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.293480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002625612357104633
1.258696,Akan,richer,71898,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.034784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.059294035506155e-05
1.258696,Akan,richer,61169,3,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.034784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.059294035506155e-05
