sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Bosnian,ethnicity_Roma,ethnicity_Serb,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2
0.2399261212844646,Serb,middle,0.3393565270901403,1.0,2.0,0,0,1,0,0,1,0,0,3.0,0.7197783638533939,0.0,0.0,-2.7802278859704533e-05
0.2399261212844646,Serb,poorer,0.1554417213478665,1.0,2.0,0,0,1,0,1,0,0,0,2.0,0.4798522425689292,0.0,-0.0,-0.00010166719828660189
0.2399261212844646,Serb,poorer,-0.265625225120173,1.0,2.0,0,0,1,0,1,0,0,0,2.0,0.4798522425689292,0.0,-0.0,-0.00010166719828660189
0.2399261212844646,Serb,middle,0.30924237950561395,1.0,2.0,0,0,1,0,0,1,0,0,3.0,0.7197783638533939,0.0,0.0,-2.7802278859704533e-05
0.2399261212844646,Serb,middle,0.30924237950561395,1.0,2.0,0,0,1,0,0,1,0,0,3.0,0.7197783638533939,0.0,0.0,-2.7802278859704533e-05
0.2399261212844646,Roma,poorest,-1.4892848214130967,1.0,2.0,0,1,0,1,0,0,0,0,1.0,0.2399261212844646,-0.0009148043867458335,-0.0,-0.0
3.1372037014194927,Serb,poorest,-0.4724114407136908,1.0,2.0,0,0,1,1,0,0,0,0,1.0,3.1372037014194927,-0.0,-0.0,-0.00229520656800802
1.7866888444050668,Serb,middle,0.41349491983828024,2.0,2.0,0,0,1,0,0,1,0,0,3.0,5.360066533215201,0.0,0.0,-0.000207038821874579
1.7866888444050668,Serb,middle,0.36167839845476557,2.0,2.0,0,0,1,0,0,1,0,0,3.0,5.360066533215201,0.0,0.0,-0.000207038821874579
0.47834564212130304,Serb,poorest,-0.3927671270521452,2.0,2.0,0,0,1,1,0,0,0,0,1.0,0.47834564212130304,-0.0,-0.0,-0.0003499619929295825
1.7866888444050668,Serb,poorer,-0.12499196262833512,2.0,2.0,0,0,1,0,1,0,0,0,2.0,3.5733776888101336,0.0,-0.0,-0.0007570982602816384
0.40742373269515825,Serb,richest,0.7130420472936028,3.0,1.0,0,0,1,0,0,0,0,1,5.0,2.037118663475791,0.0,0.0,0.00020365158192960192
0.40742373269515825,Serb,richer,0.6737766054783918,3.0,1.0,0,0,1,0,0,0,1,0,4.0,1.629694930780633,0.0,0.0,7.821996561779245e-05
4.749662010760305,Serb,richest,0.8021107922530517,3.0,1.0,0,0,1,0,0,0,0,1,5.0,23.748310053801525,0.0,0.0,0.0023741282220444524
0.40742373269515825,Serb,richest,0.9616124755300762,3.0,1.0,0,0,1,0,0,0,0,1,5.0,2.037118663475791,0.0,0.0,0.00020365158192960192
0.40742373269515825,Serb,richest,0.8707540203299563,3.0,1.0,0,0,1,0,0,0,0,1,5.0,2.037118663475791,0.0,0.0,0.00020365158192960192
4.749662010760305,Serb,middle,0.43080857921926163,3.0,1.0,0,0,1,0,0,1,0,0,3.0,14.248986032280916,0.0,0.0,-0.0005503837056405304
