sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Creole,ethnicity_Garifuna,ethnicity_Maya,ethnicity_Mestizo/Spanish/Latino,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3
1.196193392667601,Garifuna,richest,1.2168328643152337,2.0,1.0,0,1,0,0,0,0,0,0,1,5.0,5.9809669633380045,0.0,0.0,0.007637693768899611,0.0
0.29860635195343516,Mestizo/Spanish/Latino,richer,0.49794287865551584,2.0,1.0,0,0,0,1,0,0,0,1,0,4.0,1.1944254078137406,0.0,0.00011616305996315734,0.0,0.0
0.29860635195343516,Mestizo/Spanish/Latino,richer,0.49794287865551584,2.0,1.0,0,0,0,1,0,0,0,1,0,4.0,1.1944254078137406,0.0,0.00011616305996315734,0.0,0.0
1.196193392667601,Mestizo/Spanish/Latino,richest,1.1995611823283336,2.0,1.0,0,0,0,1,0,0,0,0,1,5.0,5.9809669633380045,0.0,0.0009620465458436671,0.0,0.0
0.29860635195343516,Mestizo/Spanish/Latino,richer,0.6008275289590546,2.0,1.0,0,0,0,1,0,0,0,1,0,4.0,1.1944254078137406,0.0,0.00011616305996315734,0.0,0.0
0.29860635195343516,Mestizo/Spanish/Latino,richer,0.6008275289590546,2.0,1.0,0,0,0,1,0,0,0,1,0,4.0,1.1944254078137406,0.0,0.00011616305996315734,0.0,0.0
1.196193392667601,Creole,richest,1.655355641740115,2.0,1.0,1,0,0,0,0,0,0,0,1,5.0,5.9809669633380045,0.0,0.0,0.0,0.0014560019718356239
0.29860635195343516,Mestizo/Spanish/Latino,richest,1.2878844933246463,2.0,1.0,0,0,0,1,0,0,0,0,1,5.0,1.4930317597671758,0.0,0.0002401561580466013,0.0,0.0
0.29860635195343516,Mestizo/Spanish/Latino,richest,1.2878844933246463,2.0,1.0,0,0,0,1,0,0,0,0,1,5.0,1.4930317597671758,0.0,0.0002401561580466013,0.0,0.0
0.29860635195343516,Mestizo/Spanish/Latino,poorer,-0.6519991094432578,2.0,1.0,0,0,0,1,0,1,0,0,0,2.0,0.5972127039068703,0.0,-0.00013182313620373063,-0.0,-0.0
0.29860635195343516,Mestizo/Spanish/Latino,richer,0.4435311369902385,2.0,1.0,0,0,0,1,0,0,0,1,0,4.0,1.1944254078137406,0.0,0.00011616305996315734,0.0,0.0
1.196193392667601,Mestizo/Spanish/Latino,middle,0.008729584430661463,2.0,1.0,0,0,0,1,0,0,1,0,0,3.0,3.588580178002803,0.0,-3.1366512475538044e-05,-0.0,-0.0
0.29860635195343516,Mestizo/Spanish/Latino,richer,0.6380830907040898,2.0,1.0,0,0,0,1,0,0,0,1,0,4.0,1.1944254078137406,0.0,0.00011616305996315734,0.0,0.0
1.196193392667601,Mestizo/Spanish/Latino,richer,0.8367394001313448,2.0,1.0,0,0,0,1,0,0,0,1,0,4.0,4.784773570670404,0.0,0.00046534001668406446,0.0,0.0
1.196193392667601,Mestizo/Spanish/Latino,richer,0.8367394001313448,2.0,1.0,0,0,0,1,0,0,0,1,0,4.0,4.784773570670404,0.0,0.00046534001668406446,0.0,0.0
1.196193392667601,Mestizo/Spanish/Latino,richer,0.8367394001313448,2.0,1.0,0,0,0,1,0,0,0,1,0,4.0,4.784773570670404,0.0,0.00046534001668406446,0.0,0.0
0.20484471054561007,Creole,richest,1.410230211980291,3.0,1.0,1,0,0,0,0,0,0,0,1,5.0,1.0242235527280503,0.0,0.0,0.0,0.0002493361895348514
0.20484471054561007,Mestizo/Spanish/Latino,richest,1.0717745386177402,3.0,1.0,0,0,0,1,0,0,0,0,1,5.0,1.0242235527280503,0.0,0.00016474773011015278,0.0,0.0
0.20484471054561007,Mestizo/Spanish/Latino,richest,1.0717745386177402,3.0,1.0,0,0,0,1,0,0,0,0,1,5.0,1.0242235527280503,0.0,0.00016474773011015278,0.0,0.0
0.20484471054561007,Maya,middle,0.40938333023552587,3.0,1.0,0,0,1,0,0,0,1,0,0,3.0,0.6145341316368302,0.0004479325721966715,-0.0,-0.0,-0.0
1.1011047128298115,Mestizo/Spanish/Latino,richest,0.9900869869729803,3.0,1.0,0,0,0,1,0,0,0,0,1,5.0,5.505523564149057,0.0,0.0008855708383639817,0.0,0.0
1.1011047128298115,Mestizo/Spanish/Latino,richest,0.9900869869729803,3.0,1.0,0,0,0,1,0,0,0,0,1,5.0,5.505523564149057,0.0,0.0008855708383639817,0.0,0.0
0.20484471054561007,Mestizo/Spanish/Latino,richer,0.5356670600229563,3.0,1.0,0,0,0,1,0,0,0,1,0,4.0,0.8193788421824403,0.0,7.968815210587342e-05,0.0,0.0
1.1011047128298115,Mestizo/Spanish/Latino,richest,1.2291828032292518,3.0,1.0,0,0,0,1,0,0,0,0,1,5.0,5.505523564149057,0.0,0.0008855708383639817,0.0,0.0
1.1011047128298115,Mestizo/Spanish/Latino,richest,1.2291828032292518,3.0,1.0,0,0,0,1,0,0,0,0,1,5.0,5.505523564149057,0.0,0.0008855708383639817,0.0,0.0
1.1011047128298115,Mestizo/Spanish/Latino,richest,1.5230604051488055,3.0,1.0,0,0,0,1,0,0,0,0,1,5.0,5.505523564149057,0.0,0.0008855708383639817,0.0,0.0
0.20484471054561007,Mestizo/Spanish/Latino,richer,0.5293836592658031,3.0,1.0,0,0,0,1,0,0,0,1,0,4.0,0.8193788421824403,0.0,7.968815210587342e-05,0.0,0.0
0.20484471054561007,Creole,richest,1.2020664068889884,3.0,1.0,1,0,0,0,0,0,0,0,1,5.0,1.0242235527280503,0.0,0.0,0.0,0.0002493361895348514
0.20484471054561007,Mestizo/Spanish/Latino,middle,0.08772415579276321,3.0,1.0,0,0,0,1,0,0,1,0,0,3.0,0.6145341316368302,0.0,-5.371425898405973e-06,-0.0,-0.0
0.20484471054561007,Mestizo/Spanish/Latino,middle,0.08772415579276321,3.0,1.0,0,0,0,1,0,0,1,0,0,3.0,0.6145341316368302,0.0,-5.371425898405973e-06,-0.0,-0.0
0.20484471054561007,Mestizo/Spanish/Latino,middle,0.08772415579276321,3.0,1.0,0,0,0,1,0,0,1,0,0,3.0,0.6145341316368302,0.0,-5.371425898405973e-06,-0.0,-0.0
0.20484471054561007,Mestizo/Spanish/Latino,middle,0.24013212482230242,3.0,1.0,0,0,0,1,0,0,1,0,0,3.0,0.6145341316368302,0.0,-5.371425898405973e-06,-0.0,-0.0
0.20484471054561007,Mestizo/Spanish/Latino,middle,0.24013212482230242,3.0,1.0,0,0,0,1,0,0,1,0,0,3.0,0.6145341316368302,0.0,-5.371425898405973e-06,-0.0,-0.0
