sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Armenian,ethnicity_Azeri,ethnicity_Georgian,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2
0.46824776321516753,Georgian,poorer,-0.4349117342449428,1.0,10.0,0,0,1,0,1,0,0,0,2.0,0.9364955264303351,0.0,-0.0,-0.00010154515142078045
0.46824776321516753,Georgian,poorest,-0.7925842057537907,1.0,10.0,0,0,1,1,0,0,0,0,1.0,0.46824776321516753,-0.0,-0.0,-0.00018015631182177023
0.46824776321516753,Georgian,poorest,-0.7837705694269418,1.0,10.0,0,0,1,1,0,0,0,0,1.0,0.46824776321516753,-0.0,-0.0,-0.00018015631182177023
0.46824776321516753,Georgian,poorer,-0.3483521321107139,1.0,10.0,0,0,1,0,1,0,0,0,2.0,0.9364955264303351,0.0,-0.0,-0.00010154515142078045
0.46824776321516753,Georgian,poorest,-1.2423144405415716,1.0,10.0,0,0,1,1,0,0,0,0,1.0,0.46824776321516753,-0.0,-0.0,-0.00018015631182177023
0.46824776321516753,Georgian,poorest,-0.6093402287214017,1.0,10.0,0,0,1,1,0,0,0,0,1.0,0.46824776321516753,-0.0,-0.0,-0.00018015631182177023
0.46824776321516753,Georgian,richer,1.0041739418628222,1.0,10.0,0,0,1,0,0,0,1,0,4.0,1.8729910528606701,0.0,0.0,5.567716938119912e-05
0.46824776321516753,Georgian,poorer,-0.509633390445224,1.0,10.0,0,0,1,0,1,0,0,0,2.0,0.9364955264303351,0.0,-0.0,-0.00010154515142078045
0.46824776321516753,Georgian,middle,0.2690796280916095,1.0,10.0,0,0,1,0,0,1,0,0,3.0,1.4047432896455025,0.0,-0.0,-2.293399101979067e-05
0.4784225483138562,Georgian,middle,0.23455098499198263,2.0,10.0,0,0,1,0,0,1,0,0,3.0,1.4352676449415687,0.0,-0.0,-2.3432334948823806e-05
0.4784225483138562,Georgian,middle,0.23455098499198263,2.0,10.0,0,0,1,0,0,1,0,0,3.0,1.4352676449415687,0.0,-0.0,-2.3432334948823806e-05
0.4784225483138562,Georgian,poorest,-2.0169672694097045,2.0,10.0,0,0,1,1,0,0,0,0,1.0,0.4784225483138562,-0.0,-0.0,-0.00018407101660193283
0.4784225483138562,Georgian,poorest,-0.9374238924235051,2.0,10.0,0,0,1,1,0,0,0,0,1.0,0.4784225483138562,-0.0,-0.0,-0.00018407101660193283
0.4784225483138562,Georgian,middle,0.6503270387633668,2.0,10.0,0,0,1,0,0,1,0,0,3.0,1.4352676449415687,0.0,-0.0,-2.3432334948823806e-05
0.4698792885225374,Georgian,poorest,-1.4001396566586921,3.0,10.0,0,0,1,1,0,0,0,0,1.0,0.4698792885225374,-0.0,-0.0,-0.00018078403416261262
