sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Negro,ethnicity_White,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1
0.2401834107687112,White,richer,0.5826832623434555,1.0,211.0,0,1,0,0,0,1,0,4.0,0.9607336430748448,0.0,3.3586252239840926e-05
0.2401834107687112,White,richest,1.1451506106273208,1.0,211.0,0,1,0,0,0,0,1,5.0,1.2009170538435558,0.0,7.360880940837717e-05
0.2401834107687112,White,middle,0.34027723817134126,1.0,211.0,0,1,0,0,1,0,0,3.0,0.7205502323061336,-0.0,-6.436304928695324e-06
0.2401834107687112,Negro,richer,0.6746992067533997,1.0,211.0,1,0,0,0,0,1,0,4.0,0.9607336430748448,0.00028221369043445474,0.0
0.2401834107687112,White,richest,0.9612772795004236,1.0,211.0,0,1,0,0,0,0,1,5.0,1.2009170538435558,0.0,7.360880940837717e-05
0.2401834107687112,White,richest,1.0766110011317633,1.0,211.0,0,1,0,0,0,0,1,5.0,1.2009170538435558,0.0,7.360880940837717e-05
0.2401834107687112,White,poorer,0.027790144227906877,1.0,211.0,0,1,0,1,0,0,0,2.0,0.4803668215374224,-0.0,-4.645886209723157e-05
0.2401834107687112,White,poorest,-0.921669009600532,1.0,211.0,0,1,1,0,0,0,0,1.0,0.2401834107687112,-0.0,-8.648141926576782e-05
0.2401834107687112,White,richer,0.8098517375348022,1.0,211.0,0,1,0,0,0,1,0,4.0,0.9607336430748448,0.0,3.3586252239840926e-05
0.2401834107687112,White,richest,0.9961379890295619,1.0,211.0,0,1,0,0,0,0,1,5.0,1.2009170538435558,0.0,7.360880940837717e-05
0.2401834107687112,White,richest,1.0651359035600598,1.0,211.0,0,1,0,0,0,0,1,5.0,1.2009170538435558,0.0,7.360880940837717e-05
1.5407992388936194,White,middle,0.3102509305675443,1.0,211.0,0,1,0,0,1,0,0,3.0,4.622397716680858,-0.0,-4.1289503316158686e-05
1.5407992388936194,White,richest,1.2909138028570626,1.0,211.0,0,1,0,0,0,0,1,5.0,7.703996194468097,0.0,0.0004722074565820424
1.5407992388936194,White,richer,0.7796577282644468,1.0,211.0,0,1,0,0,0,1,0,4.0,6.163196955574477,0.0,0.00021545897663294186
1.5407992388936194,White,middle,0.06629460194065767,1.0,211.0,0,1,0,0,1,0,0,3.0,4.622397716680858,-0.0,-4.1289503316158686e-05
1.5407992388936194,White,middle,0.3646593256101166,1.0,211.0,0,1,0,0,1,0,0,3.0,4.622397716680858,-0.0,-4.1289503316158686e-05
0.20747687865407705,White,middle,0.05632508218820831,2.0,212.0,0,1,0,0,1,0,0,3.0,0.6224306359622311,-0.0,-5.5598529989962106e-06
0.20747687865407705,White,poorer,-0.23170635730844275,2.0,212.0,0,1,0,1,0,0,0,2.0,0.4149537573081541,-0.0,-4.0132412404768424e-05
0.20747687865407705,White,poorest,-1.2534215001774536,2.0,212.0,0,1,1,0,0,0,0,1.0,0.20747687865407705,-0.0,-7.470497181054063e-05
0.20747687865407705,White,poorest,-1.119250858762238,2.0,212.0,0,1,1,0,0,0,0,1.0,0.20747687865407705,-0.0,-7.470497181054063e-05
0.20747687865407705,White,poorest,-1.30216045815301,2.0,212.0,0,1,1,0,0,0,0,1.0,0.20747687865407705,-0.0,-7.470497181054063e-05
0.20747687865407705,White,poorest,-1.0326475234391708,2.0,212.0,0,1,1,0,0,0,0,1.0,0.20747687865407705,-0.0,-7.470497181054063e-05
0.20747687865407705,White,poorest,-1.2047527644199953,2.0,212.0,0,1,1,0,0,0,0,1.0,0.20747687865407705,-0.0,-7.470497181054063e-05
0.20747687865407705,White,poorest,-1.7847205010205762,2.0,212.0,0,1,1,0,0,0,0,1.0,0.20747687865407705,-0.0,-7.470497181054063e-05
0.20747687865407705,White,poorest,-1.7847205010205762,2.0,212.0,0,1,1,0,0,0,0,1.0,0.20747687865407705,-0.0,-7.470497181054063e-05
0.20747687865407705,White,poorest,-0.8629221777738797,2.0,212.0,0,1,1,0,0,0,0,1.0,0.20747687865407705,-0.0,-7.470497181054063e-05
1.875936777830613,White,poorer,-0.03684947339559319,2.0,212.0,0,1,0,1,0,0,0,2.0,3.751873555661226,-0.0,-0.0003628638954931145
1.875936777830613,White,poorest,-1.7101581771324739,2.0,212.0,0,1,1,0,0,0,0,1.0,1.875936777830613,-0.0,-0.0006754574534536381
0.303632098732063,White,richer,0.6320672828220216,3.0,212.0,0,1,0,0,0,1,0,4.0,1.214528394928252,0.0,4.245865367424382e-05
0.303632098732063,White,poorer,-0.49366442937749055,3.0,212.0,0,1,0,1,0,0,0,2.0,0.607264197464126,-0.0,-5.8731790668381845e-05
0.303632098732063,White,poorer,-0.49366442937749055,3.0,212.0,0,1,0,1,0,0,0,2.0,0.607264197464126,-0.0,-5.8731790668381845e-05
0.303632098732063,White,poorer,-0.49366442937749055,3.0,212.0,0,1,0,1,0,0,0,2.0,0.607264197464126,-0.0,-5.8731790668381845e-05
0.303632098732063,White,middle,0.3824175713953971,3.0,212.0,0,1,0,0,1,0,0,3.0,0.910896296196189,-0.0,-8.136568497069013e-06
0.303632098732063,White,middle,0.3824175713953971,3.0,212.0,0,1,0,0,1,0,0,3.0,0.910896296196189,-0.0,-8.136568497069013e-06
0.303632098732063,White,poorer,-0.22262089846079924,3.0,212.0,0,1,0,1,0,0,0,2.0,0.607264197464126,-0.0,-5.8731790668381845e-05
0.303632098732063,White,poorer,-0.22262089846079924,3.0,212.0,0,1,0,1,0,0,0,2.0,0.607264197464126,-0.0,-5.8731790668381845e-05
0.303632098732063,White,poorest,-0.9836442910466436,3.0,212.0,0,1,1,0,0,0,0,1.0,0.303632098732063,-0.0,-0.00010932701283969467
0.303632098732063,White,middle,0.03917099489733877,3.0,212.0,0,1,0,0,1,0,0,3.0,0.910896296196189,-0.0,-8.136568497069013e-06
0.303632098732063,White,middle,0.03917099489733877,3.0,212.0,0,1,0,0,1,0,0,3.0,0.910896296196189,-0.0,-8.136568497069013e-06
0.303632098732063,White,middle,0.03917099489733877,3.0,212.0,0,1,0,0,1,0,0,3.0,0.910896296196189,-0.0,-8.136568497069013e-06
0.303632098732063,White,poorest,-1.2754354131127537,3.0,212.0,0,1,1,0,0,0,0,1.0,0.303632098732063,-0.0,-0.00010932701283969467
0.303632098732063,White,poorest,-3.7055286334617445,3.0,212.0,0,1,1,0,0,0,0,1.0,0.303632098732063,-0.0,-0.00010932701283969467
2.0086431146890322,White,poorer,-0.34171375154537353,3.0,212.0,0,1,0,1,0,0,0,2.0,4.0172862293780645,-0.0,-0.000388533384421603
2.0086431146890322,White,poorer,-0.34171375154537353,3.0,212.0,0,1,0,1,0,0,0,2.0,4.0172862293780645,-0.0,-0.000388533384421603
2.0086431146890322,White,middle,0.05289236874506886,3.0,212.0,0,1,0,0,1,0,0,3.0,6.025929344067096,-0.0,-5.382653005753348e-05
2.0086431146890322,White,poorer,-0.2245257414285613,3.0,212.0,0,1,0,1,0,0,0,2.0,4.0172862293780645,-0.0,-0.000388533384421603
0.19048342239069466,White,middle,0.07273923178887753,4.0,211.0,0,1,0,0,1,0,0,3.0,0.571450267172084,-0.0,-5.104471563810826e-06
0.19048342239069466,White,middle,0.26787609268732765,4.0,211.0,0,1,0,0,1,0,0,3.0,0.571450267172084,-0.0,-5.104471563810826e-06
0.19048342239069466,White,middle,0.06013249927244821,4.0,211.0,0,1,0,0,1,0,0,3.0,0.571450267172084,-0.0,-5.104471563810826e-06
0.19048342239069466,White,poorer,-0.46651483474338923,4.0,211.0,0,1,0,1,0,0,0,2.0,0.3809668447813893,-0.0,-3.684535507400182e-05
0.19048342239069466,White,poorer,-0.46651483474338923,4.0,211.0,0,1,0,1,0,0,0,2.0,0.3809668447813893,-0.0,-3.684535507400182e-05
0.19048342239069466,White,middle,0.3517865098227865,4.0,211.0,0,1,0,0,1,0,0,3.0,0.571450267172084,-0.0,-5.104471563810826e-06
0.19048342239069466,White,poorest,-1.6275216558016061,4.0,211.0,0,1,1,0,0,0,0,1.0,0.19048342239069466,-0.0,-6.85862385841928e-05
0.19048342239069466,White,poorer,-0.7037443153724046,4.0,211.0,0,1,0,1,0,0,0,2.0,0.3809668447813893,-0.0,-3.684535507400182e-05
0.19048342239069466,White,poorer,-0.12904379747951744,4.0,211.0,0,1,0,1,0,0,0,2.0,0.3809668447813893,-0.0,-3.684535507400182e-05
0.19048342239069466,White,poorer,-0.22559842368979827,4.0,211.0,0,1,0,1,0,0,0,2.0,0.3809668447813893,-0.0,-3.684535507400182e-05
0.19048342239069466,White,middle,0.1616578537873887,4.0,211.0,0,1,0,0,1,0,0,3.0,0.571450267172084,-0.0,-5.104471563810826e-06
1.8591182025331803,White,poorer,-0.28049646938440537,4.0,211.0,0,1,0,1,0,0,0,2.0,3.7182364050663606,-0.0,-0.0003596106655222578
1.8591182025331803,White,middle,0.2805839236771162,4.0,211.0,0,1,0,0,1,0,0,3.0,5.577354607599541,-0.0,-4.981964246279367e-05
1.8591182025331803,White,poorer,0.034723142000185114,4.0,211.0,0,1,0,1,0,0,0,2.0,3.7182364050663606,-0.0,-0.0003596106655222578
1.8591182025331803,White,poorer,-0.03577339175188787,4.0,211.0,0,1,0,1,0,0,0,2.0,3.7182364050663606,-0.0,-0.0003596106655222578
1.8591182025331803,White,richer,0.8255435032825675,4.0,211.0,0,1,0,0,0,1,0,4.0,7.436472810132721,0.0,0.0002599713805966705
0.07518357731950792,White,middle,0.297965503038154,5.0,211.0,0,1,0,0,1,0,0,3.0,0.22555073195852376,-0.0,-2.0147287762703934e-06
0.07518357731950792,White,poorer,-0.5782849237397605,5.0,211.0,0,1,0,1,0,0,0,2.0,0.15036715463901584,-0.0,-1.4542817255714455e-05
