sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Albanian,ethnicity_Macedonian,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1
0.8864602894132657,Macedonian,poorest,-1.4133040482554946,1.0,1.0,0,1,1,0,0,0,0,1.0,0.8864602894132657,-0.0,-0.00022053315140786744
0.8864602894132657,Macedonian,poorest,-1.4133040482554946,1.0,1.0,0,1,1,0,0,0,0,1.0,0.8864602894132657,-0.0,-0.00022053315140786744
0.1982520150118597,Macedonian,poorest,-0.6887359013207135,1.0,1.0,0,1,1,0,0,0,0,1.0,0.1982520150118597,-0.0,-4.9321038026941524e-05
0.1982520150118597,Macedonian,poorest,-0.6887359013207135,1.0,1.0,0,1,1,0,0,0,0,1.0,0.1982520150118597,-0.0,-4.9321038026941524e-05
0.1982520150118597,Macedonian,poorest,-0.6887359013207135,1.0,1.0,0,1,1,0,0,0,0,1.0,0.1982520150118597,-0.0,-4.9321038026941524e-05
0.1982520150118597,Macedonian,poorest,-0.6887359013207135,1.0,1.0,0,1,1,0,0,0,0,1.0,0.1982520150118597,-0.0,-4.9321038026941524e-05
0.8864602894132657,Macedonian,middle,0.2271405418433468,1.0,1.0,0,1,0,0,1,0,0,3.0,2.659380868239797,0.0,-2.9618997725983585e-05
0.8864602894132657,Macedonian,middle,0.2271405418433468,1.0,1.0,0,1,0,0,1,0,0,3.0,2.659380868239797,0.0,-2.9618997725983585e-05
0.8864602894132657,Macedonian,middle,0.2271405418433468,1.0,1.0,0,1,0,0,1,0,0,3.0,2.659380868239797,0.0,-2.9618997725983585e-05
0.8864602894132657,Macedonian,middle,0.2271405418433468,1.0,1.0,0,1,0,0,1,0,0,3.0,2.659380868239797,0.0,-2.9618997725983585e-05
0.8864602894132657,Macedonian,middle,0.27094375569417856,1.0,1.0,0,1,0,0,1,0,0,3.0,2.659380868239797,0.0,-2.9618997725983585e-05
0.8864602894132657,Macedonian,middle,0.27094375569417856,1.0,1.0,0,1,0,0,1,0,0,3.0,2.659380868239797,0.0,-2.9618997725983585e-05
0.1982520150118597,Macedonian,middle,0.5204609033315604,1.0,1.0,0,1,0,0,1,0,0,3.0,0.5947560450355791,0.0,-6.624127501181738e-06
0.1982520150118597,Macedonian,middle,0.5204609033315604,1.0,1.0,0,1,0,0,1,0,0,3.0,0.5947560450355791,0.0,-6.624127501181738e-06
0.1982520150118597,Macedonian,middle,0.5204609033315604,1.0,1.0,0,1,0,0,1,0,0,3.0,0.5947560450355791,0.0,-6.624127501181738e-06
0.1982520150118597,Macedonian,middle,0.5204609033315604,1.0,1.0,0,1,0,0,1,0,0,3.0,0.5947560450355791,0.0,-6.624127501181738e-06
0.1982520150118597,Macedonian,middle,0.5204609033315604,1.0,1.0,0,1,0,0,1,0,0,3.0,0.5947560450355791,0.0,-6.624127501181738e-06
0.1982520150118597,Albanian,poorest,-1.0214751130860062,1.0,1.0,1,0,1,0,0,0,0,1.0,0.1982520150118597,-8.784221710313619e-05,-0.0
