sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Chinese-Tibetan,ethnicity_Hmong-Mien,ethnicity_Lao-Tai,ethnicity_Mon-Khmer,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3
2.072595918259954,Lao-Tai,richest,1.2037025716225163,2.0,1.0,0,0,1,0,0,0,0,0,1,5.0,10.36297959129977,0.0,0.0,0.0,0.0001817569050583622
2.072595918259954,Lao-Tai,richest,1.701661133463757,2.0,1.0,0,0,1,0,0,0,0,0,1,5.0,10.36297959129977,0.0,0.0,0.0,0.0001817569050583622
2.072595918259954,Lao-Tai,middle,0.4704658874282711,2.0,1.0,0,0,1,0,0,0,1,0,0,3.0,6.217787754779862,0.0,0.0,0.0,-0.00011131638982757955
1.8103944399523832,Lao-Tai,richest,1.6813425753923945,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.3028428067577928,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.407708665491925,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.407708665491925,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richer,0.8330508291862038,3.0,1.0,0,0,1,0,0,0,0,1,0,4.0,7.241577759809533,0.0,0.0,0.0,3.076458753915083e-05
1.8103944399523832,Lao-Tai,richest,1.4168737076449385,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.563430182714904,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richer,0.8174033815664308,3.0,1.0,0,0,1,0,0,0,0,1,0,4.0,7.241577759809533,0.0,0.0,0.0,3.076458753915083e-05
1.8103944399523832,Lao-Tai,richest,1.4859907499331104,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.4859907499331104,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.5722728193971272,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.6967056292823797,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.2020439934366802,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.6692544412521872,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.7606730790680984,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
1.8103944399523832,Lao-Tai,richest,1.3535792658539925,3.0,1.0,0,0,1,0,0,0,0,0,1,5.0,9.051972199761916,0.0,0.0,0.0,0.0001587630697530598
