sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Kyrgyz,ethnicity_Russian,ethnicity_Uzbek,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2
0.592260668715526,Kyrgyz,richer,0.022025108927989145,1.0,5.0,1,0,0,0,0,0,1,0,4.0,2.369042674862104,0.0,0.00012368369771701887,-0.0
0.592260668715526,Kyrgyz,richer,0.39093402212759076,1.0,5.0,1,0,0,0,0,0,1,0,4.0,2.369042674862104,0.0,0.00012368369771701887,-0.0
0.592260668715526,Kyrgyz,richer,0.42691433652215405,1.0,5.0,1,0,0,0,0,0,1,0,4.0,2.369042674862104,0.0,0.00012368369771701887,-0.0
0.7040830188536067,Kyrgyz,richer,0.4440255073842043,2.0,5.0,1,0,0,0,0,0,1,0,4.0,2.8163320754144268,0.0,0.0001470359182561277,-0.0
0.7040830188536067,Kyrgyz,richest,0.9867054480987111,2.0,5.0,1,0,0,0,0,0,0,1,5.0,3.5204150942680332,0.0,0.0003105845800190422,0.0
0.7040830188536067,Kyrgyz,richest,0.9867054480987111,2.0,5.0,1,0,0,0,0,0,0,1,5.0,3.5204150942680332,0.0,0.0003105845800190422,0.0
0.7040830188536067,Kyrgyz,richest,1.6556363488849337,2.0,5.0,1,0,0,0,0,0,0,1,5.0,3.5204150942680332,0.0,0.0003105845800190422,0.0
0.7040830188536067,Russian,richest,0.7070718839587758,2.0,5.0,0,1,0,0,0,0,0,1,5.0,3.5204150942680332,0.0,0.0,0.0023056975224518303
0.7040830188536067,Kyrgyz,richest,1.06238660944633,2.0,5.0,1,0,0,0,0,0,0,1,5.0,3.5204150942680332,0.0,0.0003105845800190422,0.0
0.7040830188536067,Kyrgyz,richest,1.2032361281045219,2.0,5.0,1,0,0,0,0,0,0,1,5.0,3.5204150942680332,0.0,0.0003105845800190422,0.0
0.7260961964512422,Kyrgyz,richest,0.8796736024858266,3.0,5.0,1,0,0,0,0,0,0,1,5.0,3.630480982256211,0.0,0.00032029501662377414,0.0
0.7260961964512422,Kyrgyz,richest,0.9640583984206206,3.0,5.0,1,0,0,0,0,0,0,1,5.0,3.630480982256211,0.0,0.00032029501662377414,0.0
0.7260961964512422,Kyrgyz,richest,0.9640583984206206,3.0,5.0,1,0,0,0,0,0,0,1,5.0,3.630480982256211,0.0,0.00032029501662377414,0.0
0.7260961964512422,Kyrgyz,richest,1.149171057337846,3.0,5.0,1,0,0,0,0,0,0,1,5.0,3.630480982256211,0.0,0.00032029501662377414,0.0
0.7260961964512422,Kyrgyz,richest,1.6242648611786046,3.0,5.0,1,0,0,0,0,0,0,1,5.0,3.630480982256211,0.0,0.00032029501662377414,0.0
0.7260961964512422,Kyrgyz,richest,1.1900920478087573,3.0,5.0,1,0,0,0,0,0,0,1,5.0,3.630480982256211,0.0,0.00032029501662377414,0.0
0.7260961964512422,Kyrgyz,richer,0.44211370716836235,3.0,5.0,1,0,0,0,0,0,1,0,4.0,2.904384785804969,0.0,0.0001516330008374881,-0.0
0.7260961964512422,Kyrgyz,richest,0.7301049284112673,3.0,5.0,1,0,0,0,0,0,0,1,5.0,3.630480982256211,0.0,0.00032029501662377414,0.0
0.7260961964512422,Kyrgyz,richest,0.6737718143444295,3.0,5.0,1,0,0,0,0,0,0,1,5.0,3.630480982256211,0.0,0.00032029501662377414,0.0
0.7260961964512422,Kyrgyz,richest,0.8121861802163632,3.0,5.0,1,0,0,0,0,0,0,1,5.0,3.630480982256211,0.0,0.00032029501662377414,0.0
0.7260961964512422,Kyrgyz,richest,0.6436217321347453,3.0,5.0,1,0,0,0,0,0,0,1,5.0,3.630480982256211,0.0,0.00032029501662377414,0.0
