sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Bilingual (Guaraní/Spanish),ethnicity_Guaraní speaker,ethnicity_Indigenous,ethnicity_Spanish speaker,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3
1.4308176573890565,Guaraní speaker,richer,0.595798550097952,305.0,1.0,0,1,0,0,0,0,0,1,0,4.0,5.723270629556226,0.0,0.0008463532902340104,0.0,-0.0
1.4308176573890565,Guaraní speaker,richer,0.595798550097952,305.0,1.0,0,1,0,0,0,0,0,1,0,4.0,5.723270629556226,0.0,0.0008463532902340104,0.0,-0.0
4.071557314833679,Bilingual (Guaraní/Spanish),middle,0.29835809999753826,305.0,1.0,1,0,0,0,0,0,1,0,0,3.0,12.214671944501038,0.0,0.0,-0.000647407044731543,-0.0
1.4308176573890565,Spanish speaker,richer,0.7977309349139865,305.0,1.0,0,0,0,1,0,0,0,1,0,4.0,5.723270629556226,0.0,0.0,0.0,-3.112855149747486e-05
1.4308176573890565,Spanish speaker,richest,1.300344670043604,305.0,1.0,0,0,0,1,0,0,0,0,1,5.0,7.154088286945282,0.0,0.0,0.0,0.0008455137023999044
4.071557314833679,Bilingual (Guaraní/Spanish),poorer,-0.16084776750719054,305.0,1.0,1,0,0,0,0,1,0,0,0,2.0,8.143114629667359,0.0,-0.0,-0.002185737732894496,-0.0
4.071557314833679,Bilingual (Guaraní/Spanish),poorer,-0.26896951859324203,305.0,1.0,1,0,0,0,0,1,0,0,0,2.0,8.143114629667359,0.0,-0.0,-0.002185737732894496,-0.0
1.4308176573890565,Guaraní speaker,middle,0.014582859586207697,305.0,1.0,0,1,0,0,0,0,1,0,0,3.0,4.29245297216717,0.0,0.0003157551653753207,-0.0,-0.0
1.4308176573890565,Guaraní speaker,middle,0.014582859586207697,305.0,1.0,0,1,0,0,0,0,1,0,0,3.0,4.29245297216717,0.0,0.0003157551653753207,-0.0,-0.0
3.4874205816310453,Spanish speaker,richest,1.5774759391043154,306.0,1.0,0,0,0,1,0,0,0,0,1,5.0,17.437102908155225,0.0,0.0,0.0,0.002060822965507139
3.4874205816310453,Spanish speaker,richest,1.5774759391043154,306.0,1.0,0,0,0,1,0,0,0,0,1,5.0,17.437102908155225,0.0,0.0,0.0,0.002060822965507139
0.7136882687409579,Spanish speaker,richest,1.2312133681873685,306.0,1.0,0,0,0,1,0,0,0,0,1,5.0,3.5684413437047895,0.0,0.0,0.0,0.00042174011995608503
0.7136882687409579,Spanish speaker,richest,1.2312133681873685,306.0,1.0,0,0,0,1,0,0,0,0,1,5.0,3.5684413437047895,0.0,0.0,0.0,0.00042174011995608503
0.7136882687409579,Spanish speaker,richest,1.2312133681873685,306.0,1.0,0,0,0,1,0,0,0,0,1,5.0,3.5684413437047895,0.0,0.0,0.0,0.00042174011995608503
0.7136882687409579,Bilingual (Guaraní/Spanish),richer,1.0185495441685641,306.0,1.0,1,0,0,0,0,0,0,1,0,4.0,2.8547530749638317,0.0,0.0,0.00015616672037120112,-0.0
3.4874205816310453,Spanish speaker,richer,0.8449272256505771,306.0,1.0,0,0,0,1,0,0,0,1,0,4.0,13.949682326524181,0.0,0.0,0.0,-7.58715484171142e-05
3.4874205816310453,Spanish speaker,richer,0.8449272256505771,306.0,1.0,0,0,0,1,0,0,0,1,0,4.0,13.949682326524181,0.0,0.0,0.0,-7.58715484171142e-05
0.7136882687409579,Guaraní speaker,richest,1.1549368571582428,306.0,1.0,0,1,0,0,0,0,0,0,1,5.0,3.5684413437047895,0.0,0.0006868199218139154,0.0,0.0
0.7136882687409579,Guaraní speaker,richest,1.1549368571582428,306.0,1.0,0,1,0,0,0,0,0,0,1,5.0,3.5684413437047895,0.0,0.0006868199218139154,0.0,0.0
0.7136882687409579,Spanish speaker,richer,0.999648319797552,306.0,1.0,0,0,0,1,0,0,0,1,0,4.0,2.8547530749638317,0.0,0.0,0.0,-1.5526843628129594e-05
0.7136882687409579,Spanish speaker,richer,0.999648319797552,306.0,1.0,0,0,0,1,0,0,0,1,0,4.0,2.8547530749638317,0.0,0.0,0.0,-1.5526843628129594e-05
0.7136882687409579,Bilingual (Guaraní/Spanish),middle,0.3445438780936753,306.0,1.0,1,0,0,0,0,0,1,0,0,3.0,2.141064806222874,0.0,0.0,-0.00011348159369924751,-0.0
0.7136882687409579,Bilingual (Guaraní/Spanish),middle,0.3445438780936753,306.0,1.0,1,0,0,0,0,0,1,0,0,3.0,2.141064806222874,0.0,0.0,-0.00011348159369924751,-0.0
0.7136882687409579,Bilingual (Guaraní/Spanish),middle,0.5452053486283872,306.0,1.0,1,0,0,0,0,0,1,0,0,3.0,2.141064806222874,0.0,0.0,-0.00011348159369924751,-0.0
3.4874205816310453,Spanish speaker,richest,1.3642140580986544,306.0,1.0,0,0,0,1,0,0,0,0,1,5.0,17.437102908155225,0.0,0.0,0.0,0.002060822965507139
0.42784253480751205,Spanish speaker,richest,1.1030893521212972,307.0,1.0,0,0,0,1,0,0,0,0,1,5.0,2.13921267403756,0.0,0.0,0.0,0.0002528251757176185
2.528602902538111,Spanish speaker,richest,1.2191486278842394,307.0,1.0,0,0,0,1,0,0,0,0,1,5.0,12.643014512690556,0.0,0.0,0.0,0.0014942284161669412
0.42784253480751205,Spanish speaker,richer,1.029673276387161,307.0,1.0,0,0,0,1,0,0,0,1,0,4.0,1.7113701392300482,0.0,0.0,0.0,-9.308047261499837e-06
0.42784253480751205,Spanish speaker,richer,1.029673276387161,307.0,1.0,0,0,0,1,0,0,0,1,0,4.0,1.7113701392300482,0.0,0.0,0.0,-9.308047261499837e-06
0.42784253480751205,Spanish speaker,richer,1.029673276387161,307.0,1.0,0,0,0,1,0,0,0,1,0,4.0,1.7113701392300482,0.0,0.0,0.0,-9.308047261499837e-06
0.42784253480751205,Bilingual (Guaraní/Spanish),richest,1.4272274956355606,307.0,1.0,1,0,0,0,0,0,0,0,1,5.0,2.13921267403756,0.0,0.0,0.0002552680094014389,0.0
2.528602902538111,Spanish speaker,richest,1.119108852561097,307.0,1.0,0,0,0,1,0,0,0,0,1,5.0,12.643014512690556,0.0,0.0,0.0,0.0014942284161669412
2.528602902538111,Guaraní speaker,richest,1.2089582813663333,307.0,1.0,0,1,0,0,0,0,0,0,1,5.0,12.643014512690556,0.0,0.002433408147346219,0.0,0.0
0.42784253480751205,Bilingual (Guaraní/Spanish),richer,0.6259888641770167,307.0,1.0,1,0,0,0,0,0,0,1,0,4.0,1.7113701392300482,0.0,0.0,9.361897683152457e-05,-0.0
0.42784253480751205,Guaraní speaker,poorer,-0.2867014944751102,307.0,1.0,0,1,0,0,0,1,0,0,0,2.0,0.8556850696150241,0.0,-6.424225749257603e-05,-0.0,-0.0
2.528602902538111,Guaraní speaker,richer,1.009099095039777,307.0,1.0,0,1,0,0,0,0,0,1,0,4.0,10.114411610152445,0.0,0.0014957121721321355,0.0,-0.0
