sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Creole,ethnicity_Hindustani,ethnicity_Indigenous/Amerindian,ethnicity_Javanese,ethnicity_Maroon,ethnicity_Mixed Ethnicity,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5
0.3429959403989971,Hindustani,richest,0.9724808373966451,4.0,1.0,0,1,0,0,0,0,0,0,0,0,1,5.0,1.7149797019949855,0.0,0.0,0.0,0.00027232999235575635,0.0,0.0
0.3429959403989971,Mixed Ethnicity,richest,0.9280590488181502,4.0,1.0,0,0,0,0,0,1,0,0,0,0,1,5.0,1.7149797019949855,0.0,0.0,0.0,0.0,0.0,0.0005984770456353114
0.3429959403989971,Indigenous/Amerindian,richest,1.00525027605067,4.0,1.0,0,0,1,0,0,0,0,0,0,0,1,5.0,1.7149797019949855,0.003858507618825766,0.0,0.0,0.0,0.0,0.0
0.3429959403989971,Javanese,richest,0.8206190842138241,4.0,1.0,0,0,0,1,0,0,0,0,0,0,1,5.0,1.7149797019949855,0.0,0.0,0.0,0.0,0.000583014539032561,0.0
2.2371800912711257,Mixed Ethnicity,richest,1.1429375657545364,4.0,1.0,0,0,0,0,0,1,0,0,0,0,1,5.0,11.185900456355629,0.0,0.0,0.0,0.0,0.0,0.0039035474589599385
2.2371800912711257,Hindustani,richest,0.9768910425443807,4.0,1.0,0,1,0,0,0,0,0,0,0,0,1,5.0,11.185900456355629,0.0,0.0,0.0,0.0017762636970151656,0.0,0.0
0.4470011610361122,Javanese,richer,0.5822150378793509,5.0,1.0,0,0,0,1,0,0,0,0,0,1,0,4.0,1.7880046441444488,0.0,0.0,0.0,0.0,0.00027452470381390825,0.0
0.4470011610361122,Creole,richest,1.0804721505533657,5.0,1.0,1,0,0,0,0,0,0,0,0,0,1,5.0,2.235005805180561,0.0,0.0,0.0006471695677807922,0.0,0.0,0.0
0.4470011610361122,Mixed Ethnicity,richest,0.8195659998208051,5.0,1.0,0,0,0,0,0,1,0,0,0,0,1,5.0,2.235005805180561,0.0,0.0,0.0,0.0,0.0,0.0007799507304408573
0.4470011610361122,Javanese,richest,1.1475557072552276,5.0,1.0,0,0,0,1,0,0,0,0,0,0,1,5.0,2.235005805180561,0.0,0.0,0.0,0.0,0.0007597995928037244,0.0
5.1629545923555415,Mixed Ethnicity,richer,0.7294694498876018,5.0,1.0,0,0,0,0,0,1,0,0,0,1,0,4.0,20.651818369422166,0.0,0.0,0.0,0.0,0.0,0.002838697540169451
5.1629545923555415,Hindustani,middle,0.488786787261075,5.0,1.0,0,1,0,0,0,0,0,0,1,0,0,3.0,15.488863777066625,0.0,0.0,-0.0,-0.0011205399581524212,-0.0,-0.0
