sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Balanta,ethnicity_Beafada,ethnicity_Felupe,ethnicity_Fula,ethnicity_Mancanha,ethnicity_Mandinga,ethnicity_Manjaco,ethnicity_Papel,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7
0.5109689947215009,Balanta,richer,-0.11313223326624766,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,2.0438759788860037,0.000299357338349288,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.5109689947215009,Fula,richer,0.9798811046165463,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,2.0438759788860037,0.0,0.0,0.00012757173265476698,0.0,0.0,0.0,0.0,-0.0
0.5109689947215009,Fula,richer,0.9798811046165463,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,2.0438759788860037,0.0,0.0,0.00012757173265476698,0.0,0.0,0.0,0.0,-0.0
0.5109689947215009,Fula,richer,0.9798811046165463,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,2.0438759788860037,0.0,0.0,0.00012757173265476698,0.0,0.0,0.0,0.0,-0.0
0.5109689947215009,Balanta,poorest,-0.9331089335799883,1.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.5109689947215009,-0.0004665852640656646,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.3304245305731201,Balanta,poorer,-0.447136781345838,2.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.6608490611462402,-0.00013662109173501443,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.3304245305731201,Balanta,poorer,-0.447136781345838,2.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.6608490611462402,-0.00013662109173501443,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.3304245305731201,Balanta,richer,0.613425977211179,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1.3216981222924804,0.00019358319001644108,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.3304245305731201,Balanta,poorest,-0.8398780752909083,2.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.3304245305731201,-0.0003017232326107422,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.3304245305731201,Balanta,poorer,-0.49941328836660404,2.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.6608490611462402,-0.00013662109173501443,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.3304245305731201,Balanta,middle,-0.37230376245801833,2.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,0.9912735917193602,2.848104914071332e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.3304245305731201,Mancanha,richest,1.0746552423612095,2.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,1.6521226528656006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009232026634059157
0.3304245305731201,Papel,richest,1.3801220721632697,2.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,5.0,1.6521226528656006,0.0,0.0,0.0,0.0,0.0,0.0005125340755790923,0.0,0.0
0.3304245305731201,Beafada,richest,2.36274654378382,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.0,1.6521226528656006,0.0,0.001530555404234314,0.0,0.0,0.0,0.0,0.0,0.0
0.3304245305731201,Balanta,richer,0.3362227242159421,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1.3216981222924804,0.00019358319001644108,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.3304245305731201,Balanta,richest,2.046531040128454,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,1.6521226528656006,0.0003586853308921688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3304245305731201,Balanta,richest,2.046531040128454,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,1.6521226528656006,0.0003586853308921688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3304245305731201,Balanta,richest,2.046531040128454,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,1.6521226528656006,0.0003586853308921688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3304245305731201,Balanta,richer,-0.07999299092159107,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1.3216981222924804,0.00019358319001644108,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.3304245305731201,Balanta,richer,0.32045890158446955,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1.3216981222924804,0.00019358319001644108,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.3304245305731201,Fula,richer,0.668186526200983,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,1.3216981222924804,0.0,0.0,8.249586630951253e-05,0.0,0.0,0.0,0.0,-0.0
0.4883026065128468,Fula,poorest,-0.6028693805737131,3.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.4883026065128468,-0.0,-0.0,-0.00029155000542493027,-0.0,-0.0,-0.0,-0.0,-0.0
0.4883026065128468,Fula,richer,-0.08556426584510901,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,1.9532104260513872,0.0,0.0,0.0001219126996279595,0.0,0.0,0.0,0.0,-0.0
0.4883026065128468,Fula,richer,-0.08556426584510901,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,1.9532104260513872,0.0,0.0,0.0001219126996279595,0.0,0.0,0.0,0.0,-0.0
0.4883026065128468,Fula,richer,0.10014040894257803,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,1.9532104260513872,0.0,0.0,0.0001219126996279595,0.0,0.0,0.0,0.0,-0.0
0.4883026065128468,Fula,richest,1.7881446031474537,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,5.0,2.441513032564234,0.0,0.0,0.00025973360131225607,0.0,0.0,0.0,0.0,0.0
0.4883026065128468,Fula,richest,1.7881446031474537,3.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,5.0,2.441513032564234,0.0,0.0,0.00025973360131225607,0.0,0.0,0.0,0.0,0.0
0.4883026065128468,Fula,poorest,-0.6712750229737625,3.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.4883026065128468,-0.0,-0.0,-0.00029155000542493027,-0.0,-0.0,-0.0,-0.0,-0.0
0.4883026065128468,Fula,poorest,-0.6712750229737625,3.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.4883026065128468,-0.0,-0.0,-0.00029155000542493027,-0.0,-0.0,-0.0,-0.0,-0.0
0.4883026065128468,Fula,middle,-0.24829160935918404,3.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0,1.4649078195385403,0.0,-0.0,-1.5908202056337076e-05,-0.0,-0.0,-0.0,-0.0,-0.0
0.4883026065128468,Fula,middle,-0.38524420194598363,3.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0,1.4649078195385403,0.0,-0.0,-1.5908202056337076e-05,-0.0,-0.0,-0.0,-0.0,-0.0
0.4883026065128468,Fula,middle,-0.23944569987906594,3.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0,1.4649078195385403,0.0,-0.0,-1.5908202056337076e-05,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Balanta,poorest,-0.6078954142682738,4.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.38549528566864005,-0.0003520104380458658,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Balanta,poorest,-0.6535089175832418,4.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.38549528566864005,-0.0003520104380458658,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Balanta,poorer,-0.4416061646168332,4.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.7709905713372801,-0.00015939127369085014,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Balanta,poorer,-0.4416061646168332,4.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.7709905713372801,-0.00015939127369085014,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Balanta,poorest,-0.7489222585675674,4.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.38549528566864005,-0.0003520104380458658,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Balanta,poorest,-1.0801959988021974,4.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.38549528566864005,-0.0003520104380458658,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Balanta,poorer,-0.4318007206117258,4.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.7709905713372801,-0.00015939127369085014,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Balanta,poorest,-1.087952104627431,4.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.38549528566864005,-0.0003520104380458658,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Balanta,poorest,-1.087952104627431,4.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.38549528566864005,-0.0003520104380458658,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Fula,richer,-0.12517056300593543,4.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,1.5419811426745602,0.0,0.0,9.624517736109793e-05,0.0,0.0,0.0,0.0,-0.0
0.38549528566864005,Balanta,poorest,-1.5528901347778252,4.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.38549528566864005,-0.0003520104380458658,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Balanta,middle,-0.3873728875045914,4.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,1.1564858570059202,3.3227890664165534e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Balanta,poorest,-0.9171715114315708,4.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.38549528566864005,-0.0003520104380458658,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Balanta,poorest,-0.9351473481801864,4.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.38549528566864005,-0.0003520104380458658,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.38549528566864005,Balanta,poorer,-0.44700947153147697,4.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0.7709905713372801,-0.00015939127369085014,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.7006032624808186,Fula,richer,-0.05838737091340218,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,2.8024130499232744,0.0,0.0,0.00017491701653438827,0.0,0.0,0.0,0.0,-0.0
0.7006032624808186,Fula,richer,-0.05838737091340218,5.0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,2.8024130499232744,0.0,0.0,0.00017491701653438827,0.0,0.0,0.0,0.0,-0.0
