sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Kazakh,ethnicity_Russian,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1
0.7375910389747623,Kazakh,middle,0.2778579812809773,1.0,1.0,1,0,0,0,1,0,0,3.0,2.212773116924287,-7.238297871550577e-06,-0.0
0.7375910389747623,Kazakh,middle,0.2691929068928802,1.0,1.0,1,0,0,0,1,0,0,3.0,2.212773116924287,-7.238297871550577e-06,-0.0
0.7375910389747623,Kazakh,middle,0.2691929068928802,1.0,1.0,1,0,0,0,1,0,0,3.0,2.212773116924287,-7.238297871550577e-06,-0.0
0.7375910389747623,Kazakh,middle,0.2691929068928802,1.0,1.0,1,0,0,0,1,0,0,3.0,2.212773116924287,-7.238297871550577e-06,-0.0
0.7375910389747623,Kazakh,middle,0.2975003853525323,1.0,1.0,1,0,0,0,1,0,0,3.0,2.212773116924287,-7.238297871550577e-06,-0.0
0.7375910389747623,Kazakh,middle,0.3204634384067716,1.0,1.0,1,0,0,0,1,0,0,3.0,2.212773116924287,-7.238297871550577e-06,-0.0
0.7375910389747623,Kazakh,middle,0.3048564979676385,1.0,1.0,1,0,0,0,1,0,0,3.0,2.212773116924287,-7.238297871550577e-06,-0.0
0.7375910389747623,Kazakh,poorer,-1.1142938763127108,1.0,1.0,1,0,0,1,0,0,0,2.0,1.4751820779495246,-9.775069505327006e-05,-0.0
0.7375910389747623,Kazakh,middle,0.04616598843236752,1.0,1.0,1,0,0,0,1,0,0,3.0,2.212773116924287,-7.238297871550577e-06,-0.0
0.7375910389747623,Kazakh,middle,0.2691929068928802,1.0,1.0,1,0,0,0,1,0,0,3.0,2.212773116924287,-7.238297871550577e-06,-0.0
0.7375910389747623,Kazakh,middle,0.1708980245414315,1.0,1.0,1,0,0,0,1,0,0,3.0,2.212773116924287,-7.238297871550577e-06,-0.0
0.7375910389747623,Kazakh,middle,0.1708980245414315,1.0,1.0,1,0,0,0,1,0,0,3.0,2.212773116924287,-7.238297871550577e-06,-0.0
1.1770577023380537,Kazakh,richest,0.9097501128748882,2.0,1.0,1,0,0,0,0,0,1,5.0,5.885288511690269,0.00027733082894072634,0.0
1.1770577023380537,Russian,richer,0.854026750816903,2.0,1.0,0,1,0,0,0,1,0,4.0,4.708230809352215,0.0,0.00018597382594705712
1.1770577023380537,Kazakh,richer,0.8304032614468143,2.0,1.0,1,0,0,0,0,1,0,4.0,4.708230809352215,0.00013288992791254904,0.0
1.1770577023380537,Kazakh,richer,0.8304032614468143,2.0,1.0,1,0,0,0,0,1,0,4.0,4.708230809352215,0.00013288992791254904,0.0
1.1770577023380537,Kazakh,richer,0.7463724209291772,2.0,1.0,1,0,0,0,0,1,0,4.0,4.708230809352215,0.00013288992791254904,0.0
1.1770577023380537,Kazakh,richer,0.882334229276555,2.0,1.0,1,0,0,0,0,1,0,4.0,4.708230809352215,0.00013288992791254904,0.0
1.1770577023380537,Kazakh,richer,0.8707016258411724,2.0,1.0,1,0,0,0,0,1,0,4.0,4.708230809352215,0.00013288992791254904,0.0
1.1770577023380537,Kazakh,richer,0.7436624636217144,2.0,1.0,1,0,0,0,0,1,0,4.0,4.708230809352215,0.00013288992791254904,0.0
1.1770577023380537,Russian,richest,0.8928187995580161,2.0,1.0,0,1,0,0,0,0,1,5.0,5.885288511690269,0.0,0.0006556215432095984
1.1770577023380537,Russian,richest,0.8928187995580161,2.0,1.0,0,1,0,0,0,0,1,5.0,5.885288511690269,0.0,0.0006556215432095984
1.1770577023380537,Kazakh,richest,1.0561964915037274,2.0,1.0,1,0,0,0,0,0,1,5.0,5.885288511690269,0.00027733082894072634,0.0
1.1770577023380537,Kazakh,middle,-0.20608879306782835,2.0,1.0,1,0,0,0,1,0,0,3.0,3.531173107014161,-1.1550973115628193e-05,-0.0
1.1770577023380537,Kazakh,middle,-0.20608879306782835,2.0,1.0,1,0,0,0,1,0,0,3.0,3.531173107014161,-1.1550973115628193e-05,-0.0
1.1770577023380537,Russian,richest,1.0561964915037274,2.0,1.0,0,1,0,0,0,0,1,5.0,5.885288511690269,0.0,0.0006556215432095984
0.4184669428766783,Kazakh,richer,0.35322374741051754,3.0,1.0,1,0,0,0,0,1,0,4.0,1.6738677715067132,4.724495813774067e-05,0.0
0.4184669428766783,Kazakh,middle,0.2107745026634611,3.0,1.0,1,0,0,0,1,0,0,3.0,1.2554008286300349,-4.106595961562622e-06,-0.0
0.4184669428766783,Russian,poorer,-0.4661054240308091,3.0,1.0,0,1,0,1,0,0,0,2.0,0.8369338857533566,-0.0,-0.0002678205069457591
0.4184669428766783,Kazakh,richer,0.35322374741051754,3.0,1.0,1,0,0,0,0,1,0,4.0,1.6738677715067132,4.724495813774067e-05,0.0
0.4184669428766783,Kazakh,richer,0.35322374741051754,3.0,1.0,1,0,0,0,0,1,0,4.0,1.6738677715067132,4.724495813774067e-05,0.0
0.4184669428766783,Kazakh,middle,0.2418118285087308,3.0,1.0,1,0,0,0,1,0,0,3.0,1.2554008286300349,-4.106595961562622e-06,-0.0
0.4184669428766783,Kazakh,middle,-0.3020369415748855,3.0,1.0,1,0,0,0,1,0,0,3.0,1.2554008286300349,-4.106595961562622e-06,-0.0
0.4184669428766783,Kazakh,middle,-0.2332746811065769,3.0,1.0,1,0,0,0,1,0,0,3.0,1.2554008286300349,-4.106595961562622e-06,-0.0
0.4184669428766783,Kazakh,poorest,-1.1981963977224472,3.0,1.0,1,0,1,0,0,0,0,1.0,0.4184669428766783,-0.00010680970416016919,-0.0
0.4184669428766783,Russian,middle,-0.208730221576916,3.0,1.0,0,1,0,0,1,0,0,3.0,1.2554008286300349,-0.0,-0.00010085159447742051
0.4184669428766783,Russian,middle,-0.208730221576916,3.0,1.0,0,1,0,0,1,0,0,3.0,1.2554008286300349,-0.0,-0.00010085159447742051
0.545702618290749,Russian,richer,0.6763064981283466,4.0,1.0,0,1,0,0,0,1,0,4.0,2.182810473162996,0.0,8.622041515149948e-05
0.545702618290749,Kazakh,richer,0.5646356895403828,4.0,1.0,1,0,0,0,0,1,0,4.0,2.182810473162996,6.16098781413177e-05,0.0
0.545702618290749,Russian,richer,0.7236261158646276,4.0,1.0,0,1,0,0,0,1,0,4.0,2.182810473162996,0.0,8.622041515149948e-05
0.545702618290749,Russian,richer,0.653051043850361,4.0,1.0,0,1,0,0,0,1,0,4.0,2.182810473162996,0.0,8.622041515149948e-05
0.545702618290749,Kazakh,middle,-0.06932399913197607,4.0,1.0,1,0,0,0,1,0,0,3.0,1.6371078548722469,-5.355214328476486e-06,-0.0
0.545702618290749,Russian,middle,0.004771188094418954,4.0,1.0,0,1,0,0,1,0,0,3.0,1.6371078548722469,-0.0,-0.00013151571492552507
0.545702618290749,Russian,richer,0.8707016258411724,4.0,1.0,0,1,0,0,0,1,0,4.0,2.182810473162996,0.0,8.622041515149948e-05
0.545702618290749,Kazakh,richest,1.1437787708621203,4.0,1.0,1,0,0,0,0,0,1,5.0,2.7285130914537445,0.0001285749706111119,0.0
0.6070803040863114,Kazakh,middle,0.20912406878908596,5.0,1.0,1,0,0,0,1,0,0,3.0,1.8212409122589341,-5.957539938440846e-06,-0.0
0.6070803040863114,Kazakh,richer,0.4314213522232836,5.0,1.0,1,0,0,0,0,1,0,4.0,2.4283212163452457,6.853942477663536e-05,0.0
0.6070803040863114,Kazakh,richer,0.6152601039919733,5.0,1.0,1,0,0,0,0,1,0,4.0,2.4283212163452457,6.853942477663536e-05,0.0
0.6070803040863114,Kazakh,richer,0.611849327564522,5.0,1.0,1,0,0,0,0,1,0,4.0,2.4283212163452457,6.853942477663536e-05,0.0
0.6070803040863114,Kazakh,richer,0.6524902285795452,5.0,1.0,1,0,0,0,0,1,0,4.0,2.4283212163452457,6.853942477663536e-05,0.0
0.6070803040863114,Kazakh,richer,0.6524902285795452,5.0,1.0,1,0,0,0,0,1,0,4.0,2.4283212163452457,6.853942477663536e-05,0.0
0.6070803040863114,Kazakh,richer,0.6524902285795452,5.0,1.0,1,0,0,0,0,1,0,4.0,2.4283212163452457,6.853942477663536e-05,0.0
0.6070803040863114,Kazakh,richer,0.5623846077390878,5.0,1.0,1,0,0,0,0,1,0,4.0,2.4283212163452457,6.853942477663536e-05,0.0
0.6070803040863114,Kazakh,middle,-0.19892707401815468,5.0,1.0,1,0,0,0,1,0,0,3.0,1.8212409122589341,-5.957539938440846e-06,-0.0
0.6070803040863114,Kazakh,middle,-0.19892707401815468,5.0,1.0,1,0,0,0,1,0,0,3.0,1.8212409122589341,-5.957539938440846e-06,-0.0
0.6070803040863114,Kazakh,middle,-0.21666549605242236,5.0,1.0,1,0,0,0,1,0,0,3.0,1.8212409122589341,-5.957539938440846e-06,-0.0
0.6037228966730638,Russian,richer,0.5376540193490446,6.0,1.0,0,1,0,0,0,1,0,4.0,2.414891586692255,0.0,9.538755549800854e-05
0.6037228966730638,Kazakh,richer,0.7304644890331533,6.0,1.0,1,0,0,0,0,1,0,4.0,2.414891586692255,6.816037315645284e-05,0.0
0.6037228966730638,Kazakh,richer,0.7304644890331533,6.0,1.0,1,0,0,0,0,1,0,4.0,2.414891586692255,6.816037315645284e-05,0.0
