sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Banda,ethnicity_Gbaya,ethnicity_Hausa,ethnicity_Mandja,ethnicity_Mboum,ethnicity_Ngbaka/Bantou,ethnicity_Sara,ethnicity_Yakoma/Sango,ethnicity_Zandé/Nzakara,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7,IF_8
1.0066413021725797,Ngbaka/Bantou,richest,0.408738130029052,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,5.0332065108628985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002071302270980028,0.0
1.0066413021725797,Ngbaka/Bantou,richest,0.7697611374314053,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,5.0332065108628985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002071302270980028,0.0
1.0066413021725797,Ngbaka/Bantou,richest,0.7697611374314053,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,5.0332065108628985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002071302270980028,0.0
1.0066413021725797,Ngbaka/Bantou,richest,0.7697611374314053,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,5.0332065108628985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002071302270980028,0.0
1.0066413021725797,Ngbaka/Bantou,richer,0.12401502973970568,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0,4.026565208690319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005628287903592816,0.0
1.0066413021725797,Ngbaka/Bantou,richest,1.420235982978127,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,5.0332065108628985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002071302270980028,0.0
1.0066413021725797,Ngbaka/Bantou,richest,1.420235982978127,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,5.0332065108628985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002071302270980028,0.0
1.0066413021725797,Ngbaka/Bantou,richest,1.420235982978127,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,5.0332065108628985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002071302270980028,0.0
1.0066413021725797,Ngbaka/Bantou,richest,1.420235982978127,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,5.0332065108628985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002071302270980028,0.0
1.0066413021725797,Ngbaka/Bantou,richest,1.420235982978127,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,5.0332065108628985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002071302270980028,0.0
1.3421884028967732,Yakoma/Sango,richest,0.3898030487051827,2.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5.0,6.710942014483866,0.0,0.0,0.0,0.0,0.0,0.0,0.002478751866870008,0.0,0.0
1.3421884028967732,Banda,richer,0.18382985961269993,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.368753611587093,0.0,0.0,0.0,0.0,0.0007662713223095808,0.0,0.0,0.0,0.0
1.3421884028967732,Ngbaka/Bantou,richest,1.253654502813581,2.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,6.710942014483866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027617363613067045,0.0
1.3421884028967732,Ngbaka/Bantou,richest,1.253654502813581,2.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,6.710942014483866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027617363613067045,0.0
1.3421884028967732,Ngbaka/Bantou,richest,2.032580106065599,2.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,6.710942014483866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027617363613067045,0.0
1.3421884028967732,Ngbaka/Bantou,richest,0.5082057815031371,2.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,6.710942014483866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027617363613067045,0.0
1.3421884028967732,Gbaya,richest,0.646835489054131,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,6.710942014483866,0.0,0.0,0.0009779412069785573,0.0,0.0,0.0,0.0,0.0,0.0
1.3421884028967732,Ngbaka/Bantou,richer,0.014213379126047587,2.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0,5.368753611587093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000750438387145709,0.0
1.3421884028967732,Banda,richer,-0.11048970026936422,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.368753611587093,0.0,0.0,0.0,0.0,0.0007662713223095808,0.0,0.0,0.0,0.0
1.9592865191711517,Ngbaka/Bantou,richest,1.7815787770731184,3.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,9.796432595855759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040315002055856496,0.0
1.9592865191711517,Ngbaka/Bantou,richest,1.7815787770731184,3.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,9.796432595855759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040315002055856496,0.0
1.9592865191711517,Banda,richest,3.322384368629955,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,9.796432595855759,0.0,0.0,0.0,0.0,0.002291424934556274,0.0,0.0,0.0,0.0
1.9592865191711517,Gbaya,richest,0.8640797997436284,3.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,9.796432595855759,0.0,0.0,0.001427569348118124,0.0,0.0,0.0,0.0,0.0,0.0
1.9592865191711517,Gbaya,richest,0.8640797997436284,3.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,9.796432595855759,0.0,0.0,0.001427569348118124,0.0,0.0,0.0,0.0,0.0,0.0
1.9592865191711517,Gbaya,richest,0.8640797997436284,3.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,9.796432595855759,0.0,0.0,0.001427569348118124,0.0,0.0,0.0,0.0,0.0,0.0
