sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Etrangers(Non Congolais),ethnicity_Kongo,ethnicity_Mbetis,ethnicity_Mbosi,ethnicity_Sangha-Likouala,ethnicity_Tekes,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5
0.2498209579410261,Tekes,poorer,-0.12739093199921103,3.0,2.0,0,0,0,0,0,1,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.00016816821701462633,-0.0,-0.0,-0.0
0.2498209579410261,Kongo,poorer,-0.23978018378878158,3.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.0,-4.980452989216587e-05,-0.0,-0.0
0.2498209579410261,Kongo,poorest,-0.9414095267385036,3.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.2498209579410261,-0.0,-0.0,-0.0,-9.030792352474791e-05,-0.0,-0.0
0.2498209579410261,Kongo,poorer,-0.37677400559398255,3.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.0,-4.980452989216587e-05,-0.0,-0.0
0.2498209579410261,Kongo,poorer,-0.13591580432868222,3.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.0,-4.980452989216587e-05,-0.0,-0.0
0.2498209579410261,Tekes,poorer,-0.19135181174775484,3.0,2.0,0,0,0,0,0,1,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.00016816821701462633,-0.0,-0.0,-0.0
0.2498209579410261,Kongo,poorest,-0.760744835011757,3.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.2498209579410261,-0.0,-0.0,-0.0,-9.030792352474791e-05,-0.0,-0.0
0.2498209579410261,Mbetis,poorer,-0.31611670707771583,3.0,2.0,0,0,1,0,0,0,0,1,0,0,0,2.0,0.4996419158820522,-0.00038407316779416465,-0.0,-0.0,-0.0,-0.0,-0.0
0.2498209579410261,Kongo,poorer,-0.39527775537656124,3.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.0,-4.980452989216587e-05,-0.0,-0.0
0.2498209579410261,Kongo,poorer,-0.4676826132512709,3.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.0,-4.980452989216587e-05,-0.0,-0.0
0.2498209579410261,Kongo,poorest,-0.5448823160643457,3.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.2498209579410261,-0.0,-0.0,-0.0,-9.030792352474791e-05,-0.0,-0.0
0.2498209579410261,Kongo,poorest,-0.5448823160643457,3.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.2498209579410261,-0.0,-0.0,-0.0,-9.030792352474791e-05,-0.0,-0.0
0.2498209579410261,Kongo,poorer,-0.25427148610931494,3.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.0,-4.980452989216587e-05,-0.0,-0.0
0.2498209579410261,Kongo,poorer,-0.22675269154491334,3.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.0,-4.980452989216587e-05,-0.0,-0.0
0.2498209579410261,Tekes,poorer,-0.38365285434007224,3.0,2.0,0,0,0,0,0,1,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.00016816821701462633,-0.0,-0.0,-0.0
0.2498209579410261,Tekes,poorer,-0.38365285434007224,3.0,2.0,0,0,0,0,0,1,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.00016816821701462633,-0.0,-0.0,-0.0
0.2498209579410261,Etrangers(Non Congolais),poorer,-0.2796441670151564,3.0,2.0,1,0,0,0,0,0,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.0,-0.0,-0.0005534772034613406,-0.0
0.2498209579410261,Etrangers(Non Congolais),poorer,-0.2796441670151564,3.0,2.0,1,0,0,0,0,0,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.0,-0.0,-0.0005534772034613406,-0.0
0.2498209579410261,Etrangers(Non Congolais),poorer,-0.2796441670151564,3.0,2.0,1,0,0,0,0,0,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.0,-0.0,-0.0005534772034613406,-0.0
0.2498209579410261,Kongo,middle,0.8954116352518044,3.0,2.0,0,1,0,0,0,0,0,0,1,0,0,3.0,0.7494628738230783,0.0,0.0,-0.0,-9.30113625958384e-06,-0.0,-0.0
0.2498209579410261,Kongo,middle,0.8954116352518044,3.0,2.0,0,1,0,0,0,0,0,0,1,0,0,3.0,0.7494628738230783,0.0,0.0,-0.0,-9.30113625958384e-06,-0.0,-0.0
0.2498209579410261,Kongo,middle,0.8954116352518044,3.0,2.0,0,1,0,0,0,0,0,0,1,0,0,3.0,0.7494628738230783,0.0,0.0,-0.0,-9.30113625958384e-06,-0.0,-0.0
0.2498209579410261,Kongo,poorer,-0.2527726196217478,3.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.4996419158820522,-0.0,-0.0,-0.0,-4.980452989216587e-05,-0.0,-0.0
0.34491409677019086,Kongo,poorer,0.27016492125594216,4.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.6898281935403817,-0.0,-0.0,-0.0,-6.876238320595803e-05,-0.0,-0.0
0.34491409677019086,Kongo,poorer,0.27016492125594216,4.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.6898281935403817,-0.0,-0.0,-0.0,-6.876238320595803e-05,-0.0,-0.0
0.34491409677019086,Kongo,poorer,-0.17626586168972364,4.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.6898281935403817,-0.0,-0.0,-0.0,-6.876238320595803e-05,-0.0,-0.0
0.34491409677019086,Kongo,poorer,-0.17626586168972364,4.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.6898281935403817,-0.0,-0.0,-0.0,-6.876238320595803e-05,-0.0,-0.0
0.34491409677019086,Kongo,poorer,0.2509328334386366,4.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.6898281935403817,-0.0,-0.0,-0.0,-6.876238320595803e-05,-0.0,-0.0
0.34491409677019086,Kongo,poorest,-0.7458740145899494,4.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.34491409677019086,-0.0,-0.0,-0.0,-0.0001246831976406197,-0.0,-0.0
0.34491409677019086,Kongo,poorest,-0.7458740145899494,4.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.34491409677019086,-0.0,-0.0,-0.0,-0.0001246831976406197,-0.0,-0.0
0.34491409677019086,Kongo,poorest,-0.5446081477370708,4.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.34491409677019086,-0.0,-0.0,-0.0,-0.0001246831976406197,-0.0,-0.0
0.34491409677019086,Tekes,poorest,-0.70799120104902,4.0,2.0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.34491409677019086,-0.0,-0.0,-0.00046168722544283027,-0.0,-0.0,-0.0
0.34491409677019086,Kongo,poorer,-0.23310599147156075,4.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.6898281935403817,-0.0,-0.0,-0.0,-6.876238320595803e-05,-0.0,-0.0
0.34491409677019086,Kongo,poorer,-0.23310599147156075,4.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.6898281935403817,-0.0,-0.0,-0.0,-6.876238320595803e-05,-0.0,-0.0
0.34491409677019086,Kongo,poorer,-0.23310599147156075,4.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.6898281935403817,-0.0,-0.0,-0.0,-6.876238320595803e-05,-0.0,-0.0
0.34491409677019086,Kongo,poorer,-0.23310599147156075,4.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.6898281935403817,-0.0,-0.0,-0.0,-6.876238320595803e-05,-0.0,-0.0
0.34491409677019086,Kongo,poorer,0.13082061019224345,4.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.6898281935403817,-0.0,-0.0,-0.0,-6.876238320595803e-05,-0.0,-0.0
0.34491409677019086,Kongo,poorest,-0.6136634104115153,4.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.34491409677019086,-0.0,-0.0,-0.0,-0.0001246831976406197,-0.0,-0.0
0.34491409677019086,Kongo,poorest,-0.7741175193400242,4.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.34491409677019086,-0.0,-0.0,-0.0,-0.0001246831976406197,-0.0,-0.0
0.34491409677019086,Etrangers(Non Congolais),poorer,0.01767066338399681,4.0,2.0,1,0,0,0,0,0,0,1,0,0,0,2.0,0.6898281935403817,-0.0,-0.0,-0.0,-0.0,-0.0007641556228433991,-0.0
0.34491409677019086,Kongo,poorest,-0.7242431997472021,4.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.34491409677019086,-0.0,-0.0,-0.0,-0.0001246831976406197,-0.0,-0.0
0.34491409677019086,Kongo,poorest,-0.5607377665743694,4.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.34491409677019086,-0.0,-0.0,-0.0,-0.0001246831976406197,-0.0,-0.0
0.34491409677019086,Kongo,poorer,0.07165084845671066,4.0,2.0,0,1,0,0,0,0,0,1,0,0,0,2.0,0.6898281935403817,-0.0,-0.0,-0.0,-6.876238320595803e-05,-0.0,-0.0
0.34491409677019086,Kongo,poorest,-0.7684968326060945,4.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.34491409677019086,-0.0,-0.0,-0.0,-0.0001246831976406197,-0.0,-0.0
0.34491409677019086,Kongo,poorest,-0.7684968326060945,4.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.34491409677019086,-0.0,-0.0,-0.0,-0.0001246831976406197,-0.0,-0.0
0.34491409677019086,Kongo,poorest,-0.7684968326060945,4.0,2.0,0,1,0,0,0,0,1,0,0,0,0,1.0,0.34491409677019086,-0.0,-0.0,-0.0,-0.0001246831976406197,-0.0,-0.0
