ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Syrian,1.6506366362239118,0.05666290516685488,1703,657.07664952708
Jordanian,3.074548239887474,0.04144655934042049,12390,5352.42875606393
