ethnicity,n,poorest,poorer,middle,richer,richest
Kota-Kele,503,0.4068640506174534,0.20087614521096334,0.17275115590939688,0.15526774703019625,0.0642409012319901
Okande-Tsogho,216,0.332363804309635,0.14418403511528755,0.2623398222710656,0.11290379099544268,0.1482085473085692
Nzabi-Duma,1305,0.20920860253363371,0.23909828431897062,0.22326298711849923,0.17214179282951397,0.15628833319938237
Mbede-Teke,603,0.17591472651656184,0.22849601906649072,0.188831645004133,0.20204436172292892,0.20471324768988544
Shira-Punu/Vili,2315,0.17082723561967322,0.19225612927075436,0.1871222432777871,0.2442620080542348,0.2055323837775505
Fang,2562,0.14723284562944616,0.19317463003394883,0.18966111997049417,0.2328805895782972,0.23705081478781367
Myene,527,0.0685078471151312,0.17294723008983967,0.1717521761049756,0.2156897403603721,0.37110300632968135
