ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Indigenous,1.8708547878823223,0.0484516760405372,4264,1639.4295154976878
Raizal From Archipelago (San Andres),2.5621565685874694,0.3752247810543841,460,35.000297876108355
Black/Mulato/Afro-Colombian/Afro-Descendant,2.6012415044104693,0.05760601332204686,3866,2010.2465505919834
None Of The Above,3.1789115521490965,0.03288837018476101,30042,9272.33480000959
