ethnicity,n,poorest,poorer,middle,richer,richest
Para-Gourma/Akan,699,0.36703131478321355,0.2726782921207042,0.10343474866003476,0.1378019388751679,0.11905370556087953
Kabye/Tem,1361,0.19860609377175029,0.19522478965592868,0.17386161756831484,0.21377130616839013,0.218536192835616
Akposso/Akebou,180,0.16149682925320086,0.1655024056732652,0.209540311917791,0.2582957056232126,0.2051647475325304
Ana-Ife,162,0.10448082821432886,0.27769626176969026,0.22383936277715794,0.24908605362240616,0.1448974936164168
Adja-Ewe/Mina,1921,0.0711205012453566,0.12545493000074925,0.23804977129314647,0.26313475074382525,0.3022400467169225
Stranger,200,0.06451301507815477,0.08339840190528251,0.08363779510362031,0.29075662707582134,0.4776941608371211
