ethnicity,n,poorest,poorer,middle,richer,richest
Balanta,2001,0.2717262986466493,0.19887753819952442,0.1444537403187359,0.20006034208282727,0.18488208075226314
Papel,1108,0.26288803483499606,0.10994806557335411,0.06215489104005259,0.2137183217103134,0.35129068684128384
Felupe,121,0.24329352869218515,0.0748255298313753,0.11080157748232072,0.3835243819158698,0.18755498207824908
Fula,3543,0.1369272864248924,0.21093133280732745,0.23739756898826006,0.22927508912556402,0.18546872265395611
Beafada,431,0.13103808416666807,0.3086882507504616,0.21303628925546733,0.12040477108317438,0.22683260474422856
Mandinga,1719,0.12424183010345086,0.1825456927403742,0.26474877870826047,0.19465465977209795,0.23380903867581657
Manjaco,824,0.11724459223713649,0.1996967365577615,0.18367942159020548,0.19235932130548022,0.3070199283094164
Mancanha,322,0.0518606536021529,0.06913731413608605,0.14381918263201468,0.1996571062105706,0.5355257434191758
