ethnicity,n,poorest,poorer,middle,richer,richest
Poular,5097,0.2887489346688482,0.17500960652082512,0.17906801043217907,0.18369706753115167,0.17347638084699596
Mandinka,746,0.19250820971894303,0.27746806589436723,0.2319755847688458,0.16511396077460738,0.13293417884323663
Diola,650,0.14974718531468542,0.1561429917016021,0.18717888226654775,0.23030795896554815,0.2766229817516166
Serer,2497,0.14704305277040794,0.19328606383008698,0.2224915981399915,0.20800356628205446,0.2291757189774591
Wolof,6521,0.08241598292816585,0.1791588598708356,0.21914346048545252,0.23929390177060228,0.27998779494494375
Soninke,205,0.044495825038382696,0.1026223128182405,0.17894623796993533,0.23644386721121446,0.4374917569622269
