ethnicity,n,poorest,poorer,middle,richer,richest
Indigenous/Amerindian,278,0.48181487249155275,0.25181939774371104,0.19430472088945175,0.059717697681852804,0.012343311193431603
Maroon,1633,0.4788519169346637,0.23452681608767986,0.14405064423170566,0.1097870420380433,0.03278358070790731
Creole,1174,0.11469135829470548,0.16934110223521992,0.23954124515569955,0.25418419180807833,0.2222421025062966
Hindustani,1978,0.0691674326678513,0.19306011866832715,0.23489249790459973,0.24502229318232677,0.257857657576895
Javanese,921,0.05337705599286881,0.19229966982659794,0.2496335416341578,0.2760353666835252,0.2286543658628504
Mixed Ethnicity,836,0.04385346101696965,0.2079751017491327,0.2227456720265115,0.21525816165008757,0.3101676035572986
