ethnicity,n,poorest,poorer,middle,richer,richest
Toma,201,0.6675942900901283,0.15641494915980478,0.021135308034116763,0.10952061088343723,0.04533484183251281
Kissi,406,0.2723810666333388,0.3158863621970356,0.061465930484069564,0.2489613455171213,0.1013052951684347
Fulani,1983,0.20755303282686768,0.18742135377777458,0.18295528510757444,0.17189425042826995,0.2501760778595133
Guerze,358,0.19854076809564594,0.333679215001182,0.18509010197999592,0.18782953191088206,0.09486038301229399
Malinké,1703,0.1612978919702914,0.1880925006679078,0.25828660245005236,0.17595879338370263,0.2163642115280457
Soussou,1198,0.0887909726445952,0.12055964714616489,0.15554612648845123,0.2850117642330562,0.35009148948773255
