ethnicity,n,poorest,poorer,middle,richer,richest
Hill Chhetri,2698,0.30744477437248074,0.14441098404722094,0.13538932220235012,0.1761091403282432,0.236645779049705
Hill Dalit,1332,0.29877432407683546,0.2131069176890944,0.17130126969595247,0.19514023207952197,0.12167725645859567
Hill Janajati,3362,0.252705824050121,0.18163314437878045,0.16572246222105333,0.21329829954302956,0.18664026980701565
Terai Dalit,907,0.22333054502908964,0.4009917883336249,0.23290403343373337,0.12644276397362522,0.016330869229926756
Hill Brahmin,1453,0.07475463386028042,0.09679773056718294,0.1361862605970715,0.2154219627873224,0.4768394121881428
Muslim,676,0.06347844415047318,0.18751345152970367,0.2848615793337984,0.3016229003834377,0.162523624602587
Terai Janajati,1506,0.053646854497166996,0.26053821115691717,0.33815368806241614,0.2545930015519708,0.0930682447315291
Terai Brahmin/Chhetri,181,0.01995313873033247,0.08227688615854076,0.20789903345967573,0.2950340495959166,0.39483689205553446
Newar,559,0.014911505628468845,0.04901153579799558,0.048009194322082574,0.19388941495577375,0.6941783492956791
