ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Mbetis,2.2915197215025356,0.19458182169113197,563,186.2745477306646
Sangha-Likouala,2.5379247274099876,0.1490282816794722,1155,400.8813778992374
Tekes,3.0116512765988643,0.11060249864295942,1927,836.3236625290131
Kongo,3.2296384432365626,0.06022897907677142,4408,2649.6469497454364
Etrangers(Non Congolais),3.2905444187858683,0.1685470158423571,675,319.56466358910444
Mbosi,3.392972047888418,0.10567591069035331,1520,713.8283439470584
