ethnicity,n,poorest,poorer,middle,richer,richest
Misquito,215,0.5688815159549139,0.14629445482007455,0.1271069891234368,0.11181332502681916,0.04590371507475559
Lenca,1204,0.3235150111216717,0.2031795003991146,0.15433635949137783,0.1535070759111912,0.1654620530766447
Ninguno/No Sabe/No Responde,16728,0.1547713786501966,0.19528701955327255,0.21449576297782083,0.22784030309669961,0.20760553572201046
Maya Chorti,215,0.14843309650301326,0.14631464407244268,0.1743846171747284,0.1954649038887893,0.3354027383610263
Otros Pueblos,701,0.09515500082516287,0.10210268638501421,0.11806359998083721,0.25736210901912526,0.42731660378986047
Garifuna,213,0.04210333762823009,0.10465759045660575,0.13562347676307213,0.34212154375290227,0.3754940513991898
