ethnicity,n,poorest,poorer,middle,richer,richest
Turkmen,887,0.3602660065684321,0.2682896050350735,0.22497294679859609,0.10595118868554636,0.0405202529123518
Hazara,2878,0.2762440731285973,0.17601583798947865,0.09624878045243607,0.19762253855794593,0.253868769871542
Tajik,9591,0.26922580899672627,0.16556554448928237,0.146118129063626,0.17437251987549024,0.24471799757487522
Uzbek,3275,0.252862228220499,0.22114759502715947,0.18322649758963008,0.2257326486905522,0.11703103047215936
Baloch,177,0.1676896375932435,0.19804087332774356,0.2721050055801075,0.19525437124180847,0.1669101122570969
Pashtun,11617,0.09680392645937946,0.22375777610493433,0.27151366992341514,0.23189985445196598,0.17602477306030512
Nuristani,199,0.0632908034229487,0.4157127866817394,0.29629833792112,0.2243137772666798,0.00038429470751215675
Pashai,258,0.05984357099684441,0.4662278476354196,0.3036237162737097,0.13808227698981002,0.032222588104216306
