ethnicity,n,poorest,poorer,middle,richer,richest
Gurma,1012,0.4916543693520809,0.218783772466204,0.13094119833514684,0.10631492534743155,0.0523057344991365
Grusi,532,0.329406359858585,0.1985142940163862,0.18734408186756785,0.17094387494864471,0.11379138930881626
Mole-Dagbani,2789,0.322307126454512,0.24323325357472564,0.16716773050305594,0.15034583666183793,0.11694605280586846
Mande,445,0.22367831271261418,0.15594117221944612,0.1936775056824315,0.1627647020042061,0.2639383073813021
Ewe,1745,0.11269016519530585,0.16757540820195835,0.2154768377579394,0.25484921912870256,0.24940836971609381
Guan,476,0.10706722375195964,0.28239116575267287,0.24487291350425539,0.19098907436311155,0.17467962262800055
Ga/Dangme,976,0.10580773312705236,0.09632442680022558,0.24219101011758715,0.2749346164916879,0.280742213463447
Akan,6917,0.06036562623393938,0.1587636355772131,0.22944376963159904,0.2662545556611203,0.2851724128961282
