ethnicity,n,poorest,poorer,middle,richer,richest
Indigenous,2169,0.5354497255344538,0.22557433029626822,0.11703770849374687,0.07654790210356434,0.045390333571966826
Black/Mulato/Afro-Colombian/Afro-Descendant,3286,0.2725437981658151,0.24783681762963225,0.2028711316903825,0.15933058665660826,0.11741766585756176
None Of The Above,33141,0.1428210956969133,0.1986190780901561,0.21856403688796663,0.2168187570168488,0.2231770323081152
Raizal From Archipelago (San Andres),42,0.08732437887032346,0.5807734568882723,0.16549950439480832,0.01522653647680276,0.15117612336979303
