ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Kazakh,3.079970237193237,0.06036937260804345,8467,5000.84158829147
Russian,3.604014202323708,0.054004060119269455,2727,2004.0936634361426
