ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Black/African,2.7921539459728435,0.056965233117156254,7359,4461.745513497718
Coloured,3.990241784962524,0.06385135343219114,848,564.5461037353518
White,4.869618187817428,0.03963067767422772,214,143.68685085513582
